year,stfips,ctyfips,fips,name,avg_age,farms,acres
1920,39,41,39041,DELAWARE,NA,2922,275734
1925,39,41,39041,DELAWARE,NA,2917,271791
1930,39,41,39041,DELAWARE,NA,2917,266491
1935,39,41,39041,DELAWARE,NA,3000,273395
1940,39,41,39041,DELAWARE,51.3,2780,267077
1945,39,41,39041,DELAWARE,51.7,2720,278575
1950,39,41,39041,DELAWARE,NA,2347,259780
1954,39,41,39041,DELAWARE,NA,2045,244975
1959,39,41,39041,DELAWARE,51.1,1727,235397
1964,39,41,39041,DELAWARE,51.7,1286,206861
1969,39,41,39041,DELAWARE,51.799999237060504,1389,212756
1974,39,41,39041,DELAWARE,50.59999847412111,970,189320
1978,39,41,39041,DELAWARE,48.8,1010,198691
1982,39,41,39041,DELAWARE,49.2,920,187890
1987,39,41,39041,DELAWARE,50.7,799,175897
1992,39,41,39041,DELAWARE,53,688,169017
1997,39,41,39041,DELAWARE,53.700000762939005,627,160770
2002,39,41,39041,Ohio\Delaware,55.1,785,162554
2007,39,41,39041,DELAWARE,56.8,726,138140
2012,39,41,39041,Ohio\Delaware,56.8,755,140902
1850,39,43,39043,ERIE,NA,1021,125215
1860,39,43,39043,ERIE,NA,1413,145451
1870,39,43,39043,ERIE,NA,1701,137727
1880,39,43,39043,ERIE,NA,1918,149943
1890,39,43,39043,ERIE,NA,1772,136606
1900,39,43,39043,ERIE,NA,1970,148416
1910,39,43,39043,ERIE,NA,1956,144319
1920,39,43,39043,ERIE,NA,1883,140771
1925,39,43,39043,ERIE,NA,1828,136203
1930,39,43,39043,ERIE,NA,1828,134508
1935,39,43,39043,ERIE,NA,1846,140041
1940,39,43,39043,ERIE,51.8,1560,130101
1945,39,43,39043,ERIE,50.4,1352,127292
1950,39,43,39043,ERIE,NA,1272,125599
1954,39,43,39043,ERIE,NA,1151,122336
1959,39,43,39043,ERIE,50.8,832,114018
1964,39,43,39043,ERIE,50.5,698,109050
1969,39,43,39043,ERIE,49.7000007629395,702,106733
1974,39,43,39043,ERIE,51.4000015258789,619,96302
1978,39,43,39043,ERIE,51.9,550,97208
1982,39,43,39043,ERIE,52.2,535,99090
1987,39,43,39043,ERIE,52.4,480,90106
1992,39,43,39043,ERIE,52,406,88899
1997,39,43,39043,ERIE,51.09999847412101,380,89871
2002,39,43,39043,Ohio\Erie,55.3,392,94681
2007,39,43,39043,ERIE,56.5,403,84085
2012,39,43,39043,Ohio\Erie,56.5,345,83330
1850,39,45,39045,FAIRFIELD,NA,2383,304301
1860,39,45,39045,FAIRFIELD,NA,2281,292446
1870,39,45,39045,FAIRFIELD,NA,2318,305776
1880,39,45,39045,FAIRFIELD,NA,3181,316332
1890,39,45,39045,FAIRFIELD,NA,3185,298420
1900,39,45,39045,FAIRFIELD,NA,3425,308629
1910,39,45,39045,FAIRFIELD,NA,3407,301067
1920,39,45,39045,FAIRFIELD,NA,3437,307007
1925,39,45,39045,FAIRFIELD,NA,3278,290849
1930,39,45,39045,FAIRFIELD,NA,3278,289402
1935,39,45,39045,FAIRFIELD,NA,3428,307906
1940,39,45,39045,FAIRFIELD,51.4,3031,288094
1945,39,45,39045,FAIRFIELD,51.8,2870,278204
1950,39,45,39045,FAIRFIELD,NA,2782,284144
1954,39,45,39045,FAIRFIELD,NA,2514,279696
1959,39,45,39045,FAIRFIELD,52.3,2090,267340
1964,39,45,39045,FAIRFIELD,52.6,1756,248682
1969,39,45,39045,FAIRFIELD,51.2000007629395,1685,245071
1974,39,45,39045,FAIRFIELD,51.2000007629395,1392,214970
1978,39,45,39045,FAIRFIELD,50,1289,223836
1982,39,45,39045,FAIRFIELD,50,1322,221802
1987,39,45,39045,FAIRFIELD,52.5,1217,214316
1992,39,45,39045,FAIRFIELD,53,1058,197736
1997,39,45,39045,FAIRFIELD,54.29999923706101,1024,196930
2002,39,45,39045,Ohio\Fairfield,55.1,1173,196128
2007,39,45,39045,FAIRFIELD,56.6,1112,177772
2012,39,45,39045,Ohio\Fairfield,56.6,1184,206699
1850,39,47,39047,FAYETTE,NA,1007,208160
1860,39,47,39047,FAYETTE,NA,1064,217724
1870,39,47,39047,FAYETTE,NA,1805,244923
1880,39,47,39047,FAYETTE,NA,1957,247465
1890,39,47,39047,FAYETTE,NA,1864,241569
1900,39,47,39047,FAYETTE,NA,1955,248198
1910,39,47,39047,FAYETTE,NA,1846,249140
1920,39,47,39047,FAYETTE,NA,1787,249700
1925,39,47,39047,FAYETTE,NA,1637,235639
1930,39,47,39047,FAYETTE,NA,1637,247700
1935,39,47,39047,FAYETTE,NA,1660,249611
1940,39,47,39047,FAYETTE,50.5,1564,250806
1945,39,47,39047,FAYETTE,50.7,1490,253765
1950,39,47,39047,FAYETTE,NA,1362,252503
1954,39,47,39047,FAYETTE,NA,1373,256790
1959,39,47,39047,FAYETTE,50.5,1066,251643
1964,39,47,39047,FAYETTE,50.9,848,243835
1969,39,47,39047,FAYETTE,49.2000007629395,973,246254
1974,39,47,39047,FAYETTE,50.299999237060504,781,236002
1978,39,47,39047,FAYETTE,48.1,742,246057
1982,39,47,39047,FAYETTE,49.1,666,236188
1987,39,47,39047,FAYETTE,50.4,628,244193
1992,39,47,39047,FAYETTE,52,558,235971
1997,39,47,39047,FAYETTE,52.900001525879,520,242573
2002,39,47,39047,Ohio\Fayette,53.9,480,203212
2007,39,47,39047,FAYETTE,56.8,585,218250
2012,39,47,39047,Ohio\Fayette,56.8,504,196529
1850,39,49,39049,FRANKLIN,NA,2666,258854
1860,39,49,39049,FRANKLIN,NA,2634,287414
1870,39,49,39049,FRANKLIN,NA,2565,272084
1880,39,49,39049,FRANKLIN,NA,3946,327620
1890,39,49,39049,FRANKLIN,NA,3463,306218
1900,39,49,39049,FRANKLIN,NA,3686,310053
1910,39,49,39049,FRANKLIN,NA,3842,306261
1920,39,49,39049,FRANKLIN,NA,3778,296733
1925,39,49,39049,FRANKLIN,NA,3669,264914
1930,39,49,39049,FRANKLIN,NA,3669,248925
1935,39,49,39049,FRANKLIN,NA,3842,269565
1940,39,49,39049,FRANKLIN,51.7,3513,256579
1945,39,49,39049,FRANKLIN,51.3,3121,256935
1950,39,49,39049,FRANKLIN,NA,2641,238445
1954,39,49,39049,FRANKLIN,NA,2051,217469
1959,39,49,39049,FRANKLIN,52.2,1383,198660
1964,39,49,39049,FRANKLIN,53.5,1081,176787
1969,39,49,39049,FRANKLIN,52.5,962,161080
1974,39,49,39049,FRANKLIN,51,719,138743
1978,39,49,39049,FRANKLIN,50.5,733,143591
1982,39,49,39049,FRANKLIN,50.5,675,137998
1987,39,49,39049,FRANKLIN,51.5,581,121999
1992,39,49,39049,FRANKLIN,54,484,97020
1997,39,49,39049,FRANKLIN,55.09999847412101,407,79620
2002,39,49,39049,Ohio\Franklin,55.7,561,81593
2007,39,49,39049,FRANKLIN,56.5,429,59601
2012,39,49,39049,Ohio\Franklin,56.5,388,62017
1850,39,51,39051,FULTON,NA,826,95839
1860,39,51,39051,FULTON,NA,1410,144393
1870,39,51,39051,FULTON,NA,1663,173032
1880,39,51,39051,FULTON,NA,2926,238318
1890,39,51,39051,FULTON,NA,3016,238203
1900,39,51,39051,FULTON,NA,3273,247129
1910,39,51,39051,FULTON,NA,3124,246256
1920,39,51,39051,FULTON,NA,3156,248052
1925,39,51,39051,FULTON,NA,2926,237176
1930,39,51,39051,FULTON,NA,2926,241051
1935,39,51,39051,FULTON,NA,2955,246697
1940,39,51,39051,FULTON,47.7,2771,242994
1945,39,51,39051,FULTON,46.2,2548,251835
1950,39,51,39051,FULTON,NA,2480,240253
1954,39,51,39051,FULTON,NA,2354,240772
1959,39,51,39051,FULTON,47.2,2097,245550
1964,39,51,39051,FULTON,48.4,1815,240900
1969,39,51,39051,FULTON,48.2000007629395,1738,239839
1974,39,51,39051,FULTON,48.2000007629395,1424,230977
1978,39,51,39051,FULTON,47.6,1322,232376
1982,39,51,39051,FULTON,47.7,1180,221782
1987,39,51,39051,FULTON,48.7,1043,219992
1992,39,51,39051,FULTON,50,847,205633
1997,39,51,39051,FULTON,50.700000762939005,794,197309
2002,39,51,39051,Ohio\Fulton,52,783,197410
2007,39,51,39051,FULTON,53.4,763,183913
2012,39,51,39051,Ohio\Fulton,53.4,825,195356
1850,39,53,39053,GALLIA,NA,1190,215537
1860,39,53,39053,GALLIA,NA,1551,223345
1870,39,53,39053,GALLIA,NA,1997,256428
1880,39,53,39053,GALLIA,NA,2700,275084
1890,39,53,39053,GALLIA,NA,2780,267007
1900,39,53,39053,GALLIA,NA,3361,279420
1910,39,53,39053,GALLIA,NA,3228,273942
1920,39,53,39053,GALLIA,NA,2963,265536
1925,39,53,39053,GALLIA,NA,2658,241267
1930,39,53,39053,GALLIA,NA,2658,252797
1935,39,53,39053,GALLIA,NA,2924,266534
1940,39,53,39053,GALLIA,52.2,2736,248897
1945,39,53,39053,GALLIA,52.2,2688,247691
1950,39,53,39053,GALLIA,NA,2447,236886
1954,39,53,39053,GALLIA,NA,2212,222841
1959,39,53,39053,GALLIA,52.5,1821,199448
1964,39,53,39053,GALLIA,53.6,1502,182792
1969,39,53,39053,GALLIA,52.799999237060504,1214,161159
1974,39,53,39053,GALLIA,51.09999847412111,945,120305
1978,39,53,39053,GALLIA,50.4,874,120193
1982,39,53,39053,GALLIA,50.3,992,126515
1987,39,53,39053,GALLIA,51.9,885,116735
1992,39,53,39053,GALLIA,53,797,109820
1997,39,53,39053,GALLIA,51.09999847412101,776,117180
2002,39,53,39053,Ohio\Gallia,53.3,936,117944
2007,39,53,39053,GALLIA,55,993,116945
2012,39,53,39053,Ohio\Gallia,55,957,115838
1850,39,55,39055,GEAUGA,NA,1906,202053
1860,39,55,39055,GEAUGA,NA,1542,207798
1870,39,55,39055,GEAUGA,NA,2029,236526
1880,39,55,39055,GEAUGA,NA,2462,257019
1890,39,55,39055,GEAUGA,NA,2339,234018
1900,39,55,39055,GEAUGA,NA,2520,246801
1910,39,55,39055,GEAUGA,NA,2574,239505
1920,39,55,39055,GEAUGA,NA,2576,232818
1925,39,55,39055,GEAUGA,NA,2534,221243
1930,39,55,39055,GEAUGA,NA,2534,172249
1935,39,55,39055,GEAUGA,NA,2550,217281
1940,39,55,39055,GEAUGA,50.5,2497,209795
1945,39,55,39055,GEAUGA,49.7,2504,208442
1950,39,55,39055,GEAUGA,NA,1911,176919
1954,39,55,39055,GEAUGA,NA,1682,157319
1959,39,55,39055,GEAUGA,50.7,1014,115563
1964,39,55,39055,GEAUGA,52.2,804,95664
1969,39,55,39055,GEAUGA,51.299999237060504,578,69527
1974,39,55,39055,GEAUGA,51.799999237060504,544,64679
1978,39,55,39055,GEAUGA,49.5,591,69276
1982,39,55,39055,GEAUGA,49,753,74347
1987,39,55,39055,GEAUGA,50.3,702,72766
1992,39,55,39055,GEAUGA,51,622,65266
1997,39,55,39055,GEAUGA,50,661,59238
2002,39,55,39055,Ohio\Geauga,52.8,975,66474
2007,39,55,39055,GEAUGA,54.8,888,56558
2012,39,55,39055,Ohio\Geauga,54.8,959,66809
1850,39,57,39057,GREENE,NA,1626,239905
1860,39,57,39057,GREENE,NA,1586,223704
1870,39,57,39057,GREENE,NA,1771,228115
1880,39,57,39057,GREENE,NA,2398,246647
1890,39,57,39057,GREENE,NA,2387,246084
1900,39,57,39057,GREENE,NA,2637,256172
1910,39,57,39057,GREENE,NA,2575,258698
1920,39,57,39057,GREENE,NA,2373,247759
1925,39,57,39057,GREENE,NA,2401,239663
1930,39,57,39057,GREENE,NA,2401,238873
1935,39,57,39057,GREENE,NA,2335,242728
1940,39,57,39057,GREENE,50.5,2164,238759
1945,39,57,39057,GREENE,50.8,2289,235475
1950,39,57,39057,GREENE,NA,1914,225773
1954,39,57,39057,GREENE,NA,1784,222779
1959,39,57,39057,GREENE,50.5,1409,218783
1964,39,57,39057,GREENE,51.2,1120,203596
1969,39,57,39057,GREENE,50.9000015258789,1198,196423
1974,39,57,39057,GREENE,52.799999237060504,924,179479
1978,39,57,39057,GREENE,50.4,994,196282
1982,39,57,39057,GREENE,51.1,976,189494
1987,39,57,39057,GREENE,52.5,903,195070
1992,39,57,39057,GREENE,53,835,184280
1997,39,57,39057,GREENE,54.59999847412101,764,178332
2002,39,57,39057,Ohio\Greene,54.9,819,168568
2007,39,57,39057,GREENE,56.2,776,162533
2012,39,57,39057,Ohio\Greene,56.2,800,145790
1850,39,59,39059,GUERNSEY,NA,2209,313753
1860,39,59,39059,GUERNSEY,NA,2109,204671
1870,39,59,39059,GUERNSEY,NA,2253,308707
1880,39,59,39059,GUERNSEY,NA,2865,351772
1890,39,59,39059,GUERNSEY,NA,2931,316398
1900,39,59,39059,GUERNSEY,NA,3228,323993
1910,39,59,39059,GUERNSEY,NA,3051,311886
1920,39,59,39059,GUERNSEY,NA,3079,308943
1925,39,59,39059,GUERNSEY,NA,2966,285869
1930,39,59,39059,GUERNSEY,NA,2966,276168
1935,39,59,39059,GUERNSEY,NA,3174,301598
1940,39,59,39059,GUERNSEY,53.4,2767,277745
1945,39,59,39059,GUERNSEY,53.3,2645,284316
1950,39,59,39059,GUERNSEY,NA,2247,261965
1954,39,59,39059,GUERNSEY,NA,2032,254983
1959,39,59,39059,GUERNSEY,52.7,1624,225369
1964,39,59,39059,GUERNSEY,52.4,1376,203144
1969,39,59,39059,GUERNSEY,52.4000015258789,1062,164710
1974,39,59,39059,GUERNSEY,54.4000015258789,841,139750
1978,39,59,39059,GUERNSEY,52,879,142872
1982,39,59,39059,GUERNSEY,53,937,147369
1987,39,59,39059,GUERNSEY,55.4,860,137708
1992,39,59,39059,GUERNSEY,56,769,127867
1997,39,59,39059,GUERNSEY,56.29999923706101,802,137653
2002,39,59,39059,Ohio\Guernsey,56.5,910,137443
2007,39,59,39059,GUERNSEY,56.5,883,137584
2012,39,59,39059,Ohio\Guernsey,56.5,1228,143763
1850,39,61,39061,HAMILTON,NA,2602,210400
1860,39,61,39061,HAMILTON,NA,3520,236954
1870,39,61,39061,HAMILTON,NA,3310,200153
1880,39,61,39061,HAMILTON,NA,4064,215914
1890,39,61,39061,HAMILTON,NA,3227,181571
1900,39,61,39061,HAMILTON,NA,4111,203938
1910,39,61,39061,HAMILTON,NA,4129,197775
1920,39,61,39061,HAMILTON,NA,3741,183776
1925,39,61,39061,HAMILTON,NA,3569,164008
1930,39,61,39061,HAMILTON,NA,3569,140353
1935,39,61,39061,HAMILTON,NA,3085,152509
1940,39,61,39061,HAMILTON,52.6,2866,136157
1945,39,61,39061,HAMILTON,52.7,2236,134027
1950,39,61,39061,HAMILTON,NA,2133,116698
1954,39,61,39061,HAMILTON,NA,1481,100893
1959,39,61,39061,HAMILTON,55.6,825,67399
1964,39,61,39061,HAMILTON,55.7,609,53252
1969,39,61,39061,HAMILTON,54.4000015258789,491,44225
1974,39,61,39061,HAMILTON,53.4000015258789,458,43227
1978,39,61,39061,HAMILTON,52.9,388,33199
1982,39,61,39061,HAMILTON,54.4,400,33675
1987,39,61,39061,HAMILTON,55.2,350,28318
1992,39,61,39061,HAMILTON,56,313,28983
1997,39,61,39061,HAMILTON,50.79999923706101,302,29153
2002,39,61,39061,Ohio\Hamilton,55.6,399,29520
2007,39,61,39061,HAMILTON,57.1,291,21290
2012,39,61,39061,Ohio\Hamilton,57.1,295,21618
1850,39,63,39063,HANCOCK,NA,1636,194470
1860,39,63,39063,HANCOCK,NA,2114,258512
1870,39,63,39063,HANCOCK,NA,2555,297096
1880,39,63,39063,HANCOCK,NA,3285,335841
1890,39,63,39063,HANCOCK,NA,3091,314817
1900,39,63,39063,HANCOCK,NA,3263,322267
1910,39,63,39063,HANCOCK,NA,3304,319419
1920,39,63,39063,HANCOCK,NA,3214,317894
1925,39,63,39063,HANCOCK,NA,3067,311740
1930,39,63,39063,HANCOCK,NA,3067,311301
1935,39,63,39063,HANCOCK,NA,3270,324549
1940,39,63,39063,HANCOCK,48.9,2830,312781
1945,39,63,39063,HANCOCK,48.5,2707,322418
1950,39,63,39063,HANCOCK,NA,2565,318578
1954,39,63,39063,HANCOCK,NA,2338,311811
1959,39,63,39063,HANCOCK,49.7,2137,323038
1964,39,63,39063,HANCOCK,49.5,1777,314365
1969,39,63,39063,HANCOCK,48.5,1818,322351
1974,39,63,39063,HANCOCK,49.799999237060504,1501,299774
1978,39,63,39063,HANCOCK,48.5,1362,288146
1982,39,63,39063,HANCOCK,48.2,1299,292314
1987,39,63,39063,HANCOCK,48.7,1203,288175
1992,39,63,39063,HANCOCK,51,1032,275644
1997,39,63,39063,HANCOCK,51.79999923706101,979,277209
2002,39,63,39063,Ohio\Hancock,53,976,262095
2007,39,63,39063,HANCOCK,56,922,247981
2012,39,63,39063,Ohio\Hancock,56,831,230261
1850,39,65,39065,HARDIN,NA,783,97941
1860,39,65,39065,HARDIN,NA,1247,151810
1870,39,65,39065,HARDIN,NA,1493,184306
1880,39,65,39065,HARDIN,NA,2682,268002
1890,39,65,39065,HARDIN,NA,2770,268219
1900,39,65,39065,HARDIN,NA,3251,290992
1910,39,65,39065,HARDIN,NA,3172,279905
1920,39,65,39065,HARDIN,NA,3052,289727
1925,39,65,39065,HARDIN,NA,2727,278473
1930,39,65,39065,HARDIN,NA,2727,277744
1935,39,65,39065,HARDIN,NA,2757,289385
1940,39,65,39065,HARDIN,48.8,2358,272225
1945,39,65,39065,HARDIN,48.2,2085,279686
1950,39,65,39065,HARDIN,NA,2071,283300
1954,39,65,39065,HARDIN,NA,1883,278562
1959,39,65,39065,HARDIN,49.8,1639,262170
1964,39,65,39065,HARDIN,49.5,1541,277164
1969,39,65,39065,HARDIN,48.09999847412111,1628,295394
1974,39,65,39065,HARDIN,49.2000007629395,1392,281546
1978,39,65,39065,HARDIN,48.1,1263,273104
1982,39,65,39065,HARDIN,48.3,1142,264898
1987,39,65,39065,HARDIN,50.4,1034,264054
1992,39,65,39065,HARDIN,51,896,248400
1997,39,65,39065,HARDIN,52.09999847412101,837,246852
2002,39,65,39065,Ohio\Hardin,54,842,246393
2007,39,65,39065,HARDIN,55.9,847,256822
2012,39,65,39065,Ohio\Hardin,55.9,793,247839
1850,39,67,39067,HARRISON,NA,1668,224400
1860,39,67,39067,HARRISON,NA,1545,231346
1870,39,67,39067,HARRISON,NA,1460,212460
1880,39,67,39067,HARRISON,NA,2196,300677
1890,39,67,39067,HARRISON,NA,2170,246400
1900,39,67,39067,HARRISON,NA,2390,247933
1910,39,67,39067,HARRISON,NA,2256,245429
1920,39,67,39067,HARRISON,NA,2039,238887
1925,39,67,39067,HARRISON,NA,2097,232253
1930,39,67,39067,HARRISON,NA,2097,210511
1935,39,67,39067,HARRISON,NA,1925,232460
1940,39,67,39067,HARRISON,52.6,1818,215108
1945,39,67,39067,HARRISON,52.7,1492,194099
1950,39,67,39067,HARRISON,NA,1301,183571
1954,39,67,39067,HARRISON,NA,977,159937
1959,39,67,39067,HARRISON,52.2,863,160065
1964,39,67,39067,HARRISON,52.6,662,130133
1969,39,67,39067,HARRISON,54,602,124826
1974,39,67,39067,HARRISON,53.59999847412111,454,97126
1978,39,67,39067,HARRISON,52.5,502,108841
1982,39,67,39067,HARRISON,53.2,501,118569
1987,39,67,39067,HARRISON,54.2,465,118939
1992,39,67,39067,HARRISON,55,393,113329
1997,39,67,39067,HARRISON,55.5,423,109685
2002,39,67,39067,Ohio\Harrison,55.5,450,138423
2007,39,67,39067,HARRISON,57.6,418,93342
2012,39,67,39067,Ohio\Harrison,57.6,444,95387
1850,39,69,39069,HENRY,NA,307,48289
1860,39,69,39069,HENRY,NA,839,90602
1870,39,69,39069,HENRY,NA,1511,146585
1880,39,69,39069,HENRY,NA,2358,185346
1890,39,69,39069,HENRY,NA,2775,211484
1900,39,69,39069,HENRY,NA,3387,253549
1910,39,69,39069,HENRY,NA,3032,254550
1920,39,69,39069,HENRY,NA,2891,253093
1925,39,69,39069,HENRY,NA,2619,247697
1930,39,69,39069,HENRY,NA,2619,250413
1935,39,69,39069,HENRY,NA,2694,254652
1940,39,69,39069,HENRY,47,2450,252999
1945,39,69,39069,HENRY,47.6,2386,256724
1950,39,69,39069,HENRY,NA,2254,250124
1954,39,69,39069,HENRY,NA,2072,250596
1959,39,69,39069,HENRY,48,1802,250069
1964,39,69,39069,HENRY,48.1,1614,253152
1969,39,69,39069,HENRY,48.9000015258789,1695,266064
1974,39,69,39069,HENRY,50.7000007629395,1442,251901
1978,39,69,39069,HENRY,50,1321,248435
1982,39,69,39069,HENRY,48.7,1211,240416
1987,39,69,39069,HENRY,49.8,1125,245503
1992,39,69,39069,HENRY,51,955,245049
1997,39,69,39069,HENRY,51.700000762939005,872,244305
2002,39,69,39069,Ohio\Henry,53.1,844,236273
2007,39,69,39069,HENRY,55.5,881,232238
2012,39,69,39069,Ohio\Henry,55.5,848,235919
1850,39,71,39071,HIGHLAND,NA,2323,305803
1860,39,71,39071,HIGHLAND,NA,2233,322276
1870,39,71,39071,HIGHLAND,NA,2443,309716
1880,39,71,39071,HIGHLAND,NA,3127,339833
1890,39,71,39071,HIGHLAND,NA,3262,327385
1900,39,71,39071,HIGHLAND,NA,3539,363892
1910,39,71,39071,HIGHLAND,NA,3519,345020
1920,39,71,39071,HIGHLAND,NA,3338,346283
1925,39,71,39071,HIGHLAND,NA,3181,334171
1930,39,71,39071,HIGHLAND,NA,3181,335439
1935,39,71,39071,HIGHLAND,NA,3265,342357
1940,39,71,39071,HIGHLAND,50.7,2986,332261
1945,39,71,39071,HIGHLAND,51.05,2862,336931
1950,39,71,39071,HIGHLAND,NA,2652,330204
1954,39,71,39071,HIGHLAND,NA,2555,321963
1959,39,71,39071,HIGHLAND,52.4,2170,308831
1964,39,71,39071,HIGHLAND,52.9,2008,301468
1969,39,71,39071,HIGHLAND,50.59999847412111,2015,307106
1974,39,71,39071,HIGHLAND,50.4000015258789,1661,282500
1978,39,71,39071,HIGHLAND,49.1,1558,269047
1982,39,71,39071,HIGHLAND,50.1,1470,258482
1987,39,71,39071,HIGHLAND,51.9,1323,251969
1992,39,71,39071,HIGHLAND,52,1153,230988
1997,39,71,39071,HIGHLAND,52.09999847412101,1239,242450
2002,39,71,39071,Ohio\Highland,55.5,1381,273263
2007,39,71,39071,HIGHLAND,56.7,1497,269803
2012,39,71,39071,Ohio\Highland,56.7,1412,264521
1850,39,73,39073,HOCKING,NA,1180,142335
1860,39,73,39073,HOCKING,NA,1897,219384
1870,39,73,39073,HOCKING,NA,1919,235889
1880,39,73,39073,HOCKING,NA,2115,252944
1890,39,73,39073,HOCKING,NA,1966,227583
1900,39,73,39073,HOCKING,NA,2255,244206
1910,39,73,39073,HOCKING,NA,1985,225928
1920,39,73,39073,HOCKING,NA,1753,208674
1925,39,73,39073,HOCKING,NA,1567,189335
1930,39,73,39073,HOCKING,NA,1567,179496
1935,39,73,39073,HOCKING,NA,1791,207290
1940,39,73,39073,HOCKING,51.8,1403,164868
1945,39,73,39073,HOCKING,53,1585,169958
1950,39,73,39073,HOCKING,NA,1237,159067
1954,39,73,39073,HOCKING,NA,1089,143163
1959,39,73,39073,HOCKING,53.2,723,107469
1964,39,73,39073,HOCKING,53.5,681,106575
1969,39,73,39073,HOCKING,52.5,461,84182
1974,39,73,39073,HOCKING,51.4000015258789,380,66435
1978,39,73,39073,HOCKING,51,414,65952
1982,39,73,39073,HOCKING,51.6,411,60029
1987,39,73,39073,HOCKING,53.6,414,63178
1992,39,73,39073,HOCKING,55,355,48050
1997,39,73,39073,HOCKING,53.09999847412101,353,47950
2002,39,73,39073,Ohio\Hocking,53.6,434,49866
2007,39,73,39073,HOCKING,55.8,387,41992
2012,39,73,39073,Ohio\Hocking,55.8,367,38085
1850,39,75,39075,HOLMES,NA,2171,251171
1860,39,75,39075,HOLMES,NA,2135,239721
1870,39,75,39075,HOLMES,NA,1963,246064
1880,39,75,39075,HOLMES,NA,2457,251523
1890,39,75,39075,HOLMES,NA,2696,253375
1900,39,75,39075,HOLMES,NA,2632,253357
1910,39,75,39075,HOLMES,NA,2599,258403
1920,39,75,39075,HOLMES,NA,2546,258743
1925,39,75,39075,HOLMES,NA,2442,243802
1930,39,75,39075,HOLMES,NA,2442,242519
1935,39,75,39075,HOLMES,NA,2394,249455
1940,39,75,39075,HOLMES,48.5,2286,247708
1945,39,75,39075,HOLMES,47.6,2134,244367
1950,39,75,39075,HOLMES,NA,2122,242192
1954,39,75,39075,HOLMES,NA,2104,240085
1959,39,75,39075,HOLMES,47.2,1919,222446
1964,39,75,39075,HOLMES,46.7,1779,217191
1969,39,75,39075,HOLMES,45.299999237060504,1537,196646
1974,39,75,39075,HOLMES,46.799999237060504,1316,183862
1978,39,75,39075,HOLMES,45.7,1527,201524
1982,39,75,39075,HOLMES,45.6,1574,194963
1987,39,75,39075,HOLMES,47.2,1518,186018
1992,39,75,39075,HOLMES,47,1443,177194
1997,39,75,39075,HOLMES,45.400001525879,1404,171732
2002,39,75,39075,Ohio\Holmes,47.9,1809,206603
2007,39,75,39075,HOLMES,49.8,1573,187658
2012,39,75,39075,Ohio\Holmes,49.8,1969,220948
1850,39,77,39077,HURON,NA,2414,248126
1860,39,77,39077,HURON,NA,2987,275828
1870,39,77,39077,HURON,NA,2550,264858
1880,39,77,39077,HURON,NA,3104,302006
1890,39,77,39077,HURON,NA,3152,291607
1900,39,77,39077,HURON,NA,3097,300163
1910,39,77,39077,HURON,NA,2928,290923
1920,39,77,39077,HURON,NA,2728,283224
1925,39,77,39077,HURON,NA,2753,277435
1930,39,77,39077,HURON,NA,2753,273492
1935,39,77,39077,HURON,NA,2914,296595
1940,39,77,39077,HURON,50.7,2457,286996
1945,39,77,39077,HURON,49.7,2345,284620
1950,39,77,39077,HURON,NA,2345,284416
1954,39,77,39077,HURON,NA,2018,278934
1959,39,77,39077,HURON,49.4,1758,271221
1964,39,77,39077,HURON,50.5,1582,271165
1969,39,77,39077,HURON,49.299999237060504,1557,278241
1974,39,77,39077,HURON,49.5,1277,255887
1978,39,77,39077,HURON,48.2,1117,251397
1982,39,77,39077,HURON,49.1,1053,245124
1987,39,77,39077,HURON,49.6,934,234317
1992,39,77,39077,HURON,51,843,219023
1997,39,77,39077,HURON,50.400001525879,782,231586
2002,39,77,39077,Ohio\Huron,53.3,865,228346
2007,39,77,39077,HURON,55,793,219369
2012,39,77,39077,Ohio\Huron,55,865,238291
1850,39,79,39079,JACKSON,NA,1164,165976
1860,39,79,39079,JACKSON,NA,1594,194413
1870,39,79,39079,JACKSON,NA,1623,204397
1880,39,79,39079,JACKSON,NA,1951,237816
1890,39,79,39079,JACKSON,NA,1905,228705
1900,39,79,39079,JACKSON,NA,2078,234173
1910,39,79,39079,JACKSON,NA,2178,237014
1920,39,79,39079,JACKSON,NA,2054,229203
1925,39,79,39079,JACKSON,NA,1725,199121
1930,39,79,39079,JACKSON,NA,1725,191189
1935,39,79,39079,JACKSON,NA,1891,192909
1940,39,79,39079,JACKSON,53.2,1757,165772
1945,39,79,39079,JACKSON,54.5,1677,165200
1950,39,79,39079,JACKSON,NA,1506,163815
1954,39,79,39079,JACKSON,NA,1427,154751
1959,39,79,39079,JACKSON,53.5,1041,129309
1964,39,79,39079,JACKSON,54.4,773,107970
1969,39,79,39079,JACKSON,54,641,103053
1974,39,79,39079,JACKSON,49.4000015258789,573,94958
1978,39,79,39079,JACKSON,51.1,521,90808
1982,39,79,39079,JACKSON,51.3,503,80963
1987,39,79,39079,JACKSON,53.4,422,79180
1992,39,79,39079,JACKSON,54,385,74461
1997,39,79,39079,JACKSON,53.09999847412101,408,74035
2002,39,79,39079,Ohio\Jackson,55,458,73800
2007,39,79,39079,JACKSON,57.7,462,71869
2012,39,79,39079,Ohio\Jackson,57.7,526,71681
1850,39,81,39081,JEFFERSON,NA,1838,232434
1860,39,81,39081,JEFFERSON,NA,1448,221295
